Republican,"As I said back in February, this balloon should have been shot down long before it entered U.S. airspace. The Biden Administration's response was weak &amp; China noticed. https://t.co/Kazb9tS02t"
Republican,This is exciting news. I have been pushing for America to reassert itself in space. This is another important step to getting American boots back on the moon and on to Mars. https://t.co/1KHDMzvwiM
Republican,To use our justice system as a weapon is to tear down the system that we all hold dear.
Republican,The politically motivated pursuit of this case against a former President will be seen by a jury for what it truly is: a stunt. The prosecutors of New York City should focus on the very real crime crisis that they are facing on a daily basis.
Republican,"My heart goes out to the men and women of the Huntsville Police Department for the loss of one of their own. My prayers are with his family and the other officer who was shot. Members of law enforcement, who risk their lives every day,
are heroes. https://t.co/KhEXue4RdX"
Republican,"""I haven’t made a recommendation; I haven’t made a decision. We’re still in the process of doing some analysis.""

-Frank Kendall, Secretary of the Air Force on the relocation of U.S. Space Command to Huntsville, Alabama."
Republican,"Just starting @HouseAppropsGOP Labor, Health and Human Services, and Education Subcommittee hearing HHS Secretary Becerra’s budget request. https://t.co/4xCq37yqnx"
Republican,Looking forward to hearing from the Secretary of the @usairforce before the Appropriations Subcommittee on Defense this week as we plan for the future of security in space. https://t.co/Vl7TeZOU9I
Republican,"Proud to be chairing @HouseAppropsGOP Subcommittee on Labor, Health and Human Services, and Education for our public witness hearing today. https://t.co/4IC7dk2CSP"
Republican,"I joined @USRepGaryPalmer and the AL delegation in demanding answers from the Mexican government on their seizure of the Birmingham-based company, Vulcan Materials’ port in Quintana Roo, Mexico. Armed, foreign military occupation of an American company is simply unacceptable. https://t.co/v8fK7esh3O"
Republican,"For the past two years we have seen an alarming increase in the rate of which fentanyl has been confiscated at the southern border and in our state. Now, it is the leading drug threat to our communities in Alabama. https://t.co/CKtdAYJZWP"
Republican,"Parents have rights in their children's education, and we're committed to ensuring those rights. #ParentsBillOfRights https://t.co/LOAja3TgWv"
Republican,Big things coming this week with @EdWorkforceCmte's Parents Bill of Rights Act. I look forward to voting for access and transparency in our children's education.
Republican,"We’ve said it before, and we’ll continue to say it. https://t.co/lu2b22l1pu"
Republican,It was great to be asked to light the fountain @north_alabama   UNA is now in the 4th Congressional District! https://t.co/2gkuIIY5b1
Republican,Honduran President Castro is making a mistake moving her county toward closer ties with Communist China. These “ties” will only strangle freedom for the Honduran people.
Republican,"As the far left continues to attack everything from First Amendment rights to parents’ involvement in their children’s education, we are committed to upholding policies and protections that ensure freedom for the generations to come. https://t.co/pDBHGAmu3M"
Republican,"""Through this action ACOG is no longer standing by their ‘commitment to the advancement of evidence-based, scientific information."" - Rep. Burgess, M.D. https://t.co/7H6fRgfs8v"
Republican,"""This is a blatant attack on the exploration of research and practice that academia is supposed to promote."" https://t.co/zUZYQtvmGD"
Republican,This decision to silence a group of qualified health care professionals is a prime example of putting political ideology ahead of sharing best practices in prenatal childcare. https://t.co/vgGnKFD3Mq
Republican,No one has been exempted from the harmful impact of the far-left’s spending habits. We are working to put an end to it. https://t.co/g09CB2f9P7
Republican,https://t.co/kI4MPCRge4
Republican,"Today, we celebrate President’s Day, and more specifically, the birthday of George Washington and the unwavering leadership he showed to our young nation. He set the example for all who would follow. https://t.co/x4onm0gmfM"
Republican,"These objects clearly pose a national security and safety risk, neither of which are acceptable."
Republican,"The situation with “objects” flying through our airspace must be fully investigated &amp; the American people informed about what is going on. And whether they are originating in China, or any other country, the President needs to be clear that we will not tolerate these violations."
Republican,One of the only factors that differentiate American citizens from non-citizens is the right to vote. Today we vote to protect the sanctity of that right. https://t.co/zgo7AqHzcv
Republican,"My full response to the President's speech.
https://t.co/hNfPZcmsXk"
Republican,"The President could stop the fentanyl crisis by securing our border.  It's flowing across the unsecured border every day, every second."
Republican,"We are not in a good position to take on China.  We must increase our military spending, or they will overtake us in the 2030s."
Republican,The President acted after China had completed its mission to send a balloon across the country.
Republican,There is never a reason to stand and cheer for abortion.  Abortion stops a human heart beat.
Republican,"President Biden has failed to secure our southern border, with 4.5 million illegal crossings since he took office"
